sample_id,tepname,temp,tepvalue
418,simga,"[302.9448, 322.8221, 347.8528, 373.6196, 398.6503, 422.2086, 447.2393, 472.2699, 498.773, 523.8037, 548.8344, 573.865, 598.8957, 623.9264, 648.2209, 673.2515, 697.546, 723.3129, 748.3436, 773.3742, 797.6687, 822.6994, 847.7301, 873.4969, 899.2638, 931.6564]","[140659.3, 129670.3, 117362.6, 105934.1, 95384.62, 85274.73, 76703.3, 67912.09, 61098.9, 54505.49, 48791.21, 43956.04, 39340.66, 35824.18, 32747.25, 29890.11, 27032.97, 25054.95, 23516.48, 22197.8, 21538.46, 20879.12, 20000, 19780.22, 19560.44, 19120.88]"
391,simga,"[301.9157, 372.318, 470.0192, 570.1149, 669.7318, 720.0192, 768.8697]","[171055.8, 150889.7, 118861.2, 80901.54, 49347.57, 47924.08, 47212.34]"
215,simga,"[303.2051, 323.0769, 373.7179, 423.0769, 473.0769, 523.7179, 573.7179, 623.0769, 673.7179, 723.0769, 773.0769, 823.7179, 872.4359, 903.2051]","[273109.2, 263655.5, 238445.4, 213235.3, 192226.9, 171218.5, 153361.3, 133403.4, 118697.5, 102941.2, 91386.55, 79831.93, 71428.57, 70378.15]"
303,simga,"[313.2353, 344.8529, 394.1176, 443.3824, 491.1765, 540.4412, 588.9706, 636.7647, 685.2941, 733.0882, 782.3529, 805.8824]","[176599.5, 147481.2, 108925.5, 79386.27, 58454.49, 43259.49, 34622.34, 29264.33, 28823.9, 28383.93, 27533.19, 26288.85]"
278,simga,"[303.681, 324.2945, 349.3252, 373.6196, 398.6503, 423.681, 448.7117, 473.7423, 498.773, 522.3313, 548.0982, 573.865, 598.1595, 623.9264, 647.4847, 673.2515, 698.2822, 724.7853, 749.0798, 774.1104, 797.6687, 822.6994, 848.4663, 872.7607, 899.2638, 931.6564]","[85494.51, 81098.9, 75824.18, 70769.23, 65494.51, 60879.12, 56263.74, 52307.69, 48131.87, 43956.04, 40219.78, 36923.08, 33846.15, 30989.01, 28131.87, 25494.51, 23296.7, 20659.34, 18901.1, 16923.08, 15604.4, 14065.93, 13186.81, 12527.47, 11868.13, 11428.57]"
434,simga,"[297.2847, 304.5373, 311.7886, 319.0404, 326.2904, 333.5424, 340.7958, 348.0478, 355.2984, 362.5496, 369.8026, 377.055, 384.3049, 391.5548, 398.808, 406.0604, 413.3127, 420.5632, 427.815, 435.0671, 443.5272, 452.5922, 461.0519, 470.1169, 480.3893, 490.6654, 500.3359, 510.6106, 531.7625, 542.6418, 552.9154, 561.9796, 573.4607, 583.1316, 593.4061, 604.2845, 615.1634, 624.2302, 634.5042, 645.9873, 656.2609, 668.3494, 674.9962]","[11258.7, 11258.7, 11826.79, 12205.51, 13383.76, 13636.25, 13257.52, 13541.57, 14414.74, 15045.94, 14877.62, 14940.74, 16161.07, 17381.41, 17107.89, 17192.05, 17318.29, 18265.1, 18580.7, 18833.18, 19369.71, 19716.87, 20474.32, 20789.93, 21736.74, 20979.29, 20789.93, 20726.8, 21358.01, 21168.65, 21547.37, 22241.7, 23251.63, 22872.91, 22872.91, 23062.27, 23062.27, 22569.93, 22778.23, 22872.91, 23251.63, 22872.91, 23478.87]"
249,simga,"[300.7737, 314.9903, 360.3482, 403.675, 456.4797, 503.1915, 553.2882, 597.2921, 646.0348, 694.1006, 742.1663, 790.2321, 836.9439, 898.5493]","[304032.5, 282052.9, 222103.7, 177135.2, 138151.7, 110656.5, 86154.73, 71643.46, 58127.41, 47607.69, 39085.19, 31062.01, 28032.85, 21497.92]"
291,simga,"[297.7387, 342.4623, 391.7085, 440.4523, 488.6935, 538.4422, 587.6884, 636.9347, 710.3015]","[9535.729, 8506.937, 6721.153, 5690.338, 4408.205, 3880.029, 3100.534, 2824.184, 2787.27]"
387,simga,"[313.9706, 344.8529, 395.5882, 444.8529, 493.3824, 542.6471, 591.9118, 640.4412, 688.9706, 737.5, 786.0294, 809.5588]","[111025.2, 84776.26, 53596.73, 34303.37, 23207.2, 16208.92, 12489.34, 9999.722, 8329.779, 7069.672, 6629.237, 6204.566]"
255,simga,"[299.1976, 319.659, 368.2046, 416.349, 465.2959, 514.2427, 563.5908, 612.5376, 661.4845]","[85961.25, 75946.35, 57585.69, 45901.64, 38390.46, 30253.35, 22533.53, 16691.51, 14605.07]"
463,simga,"[301.222, 345.2138, 395.9267, 446.0285, 494.9084, 545.6212, 595.723, 643.9919, 693.4827, 717.3116]","[162663.2, 145757.2, 117885.1, 90469.97, 69451.7, 53002.61, 41579.63, 35639.69, 30156.66, 28785.9]"
472,simga,"[300, 320.7739, 369.0428, 418.5336, 467.4134, 516.2933, 565.7841, 614.664, 662.9328]","[80874.67, 80874.67, 76305.48, 63511.75, 52088.77, 42036.55, 34268.93, 27872.06, 26044.39]"
341,simga,"[347.5024, 398.9632, 449.8586, 500.1885, 551.6494, 601.9793, 651.7436, 700.9425, 749.5759, 798.7747, 821.9604]","[170235.5, 139079.2, 110492.5, 87366.17, 69379.01, 56531.05, 48179.87, 43683.08, 40792.29, 39507.49, 38222.7]"
242,simga,"[302.9448, 323.5583, 348.589, 373.6196, 398.6503, 423.681, 447.9755, 473.0061, 498.773, 523.8037, 548.0982, 573.865, 598.1595, 623.9264, 648.2209, 674.7239, 699.0184, 724.0491, 749.0798, 772.638, 798.4049, 824.1718, 847.7301, 873.4969, 899.2638, 930.184]","[98461.54, 92747.25, 85934.07, 79340.66, 72967.03, 67252.75, 61538.46, 56263.74, 51428.57, 47032.97, 42417.58, 38461.54, 34725.27, 31208.79, 28351.65, 25054.95, 23076.92, 20879.12, 19120.88, 17142.86, 15384.62, 14505.49, 13846.15, 13186.81, 12967.03, 13406.59]"
302,simga,"[298.6105, 318.7801, 371.1865, 424.3678, 450.9399, 476.7158, 500.8713, 525.838, 551.599, 577.361, 602.3128, 627.2673, 650.6081, 676.3663]","[233640.6, 206451.6, 152995.4, 114285.7, 104147.5, 89861.75, 81105.99, 69124.42, 62211.98, 54838.71, 50230.41, 44239.63, 40553, 35023.04]"
275,simga,"[331.5688, 373.7089, 421.701, 469.7018, 518.3627, 567.0309, 618.9544, 666.9876, 720.865, 774.0973, 823.4364, 876.6745]","[615982.2, 511653.7, 419533.9, 340732.5, 278579.4, 227525, 189789.1, 160932.3, 132075.5, 109877.9, 92119.87, 78801.33]"
268,simga,"[299.4463, 319.9336, 369.2137, 417.3865, 563.0122, 611.1849, 660.4651, 708.0842, 756.2569, 804.4297]","[259581, 223420.3, 154498.6, 105048.1, 37053.57, 28090.66, 23454.67, 19436.81, 17273.35, 16964.29]"
320,simga,"[288.0327, 317.3488, 340.5499, 364.9661, 389.3781, 412.5684, 435.7608, 460.1684, 483.35, 508.9727, 533.3717, 557.7706, 580.95, 604.1251]","[147331, 123843.4, 108896.8, 96085.41, 85409.25, 75800.71, 65124.56, 56583.63, 51245.55, 44839.86, 40569.4, 36298.93, 32028.47, 29893.24]"
456,simga,"[351.3866, 369.1188, 382.4135, 395.7079, 409.0034, 428.7522, 438.2859, 449.5199, 461.1477, 474.0428, 487.5813, 503.188, 519.5106, 535.9441, 552.6487, 568.5883, 584.6884, 600.5173, 618.1587, 637.5035, 656.325, 675.5222]","[49660.63, 51105.07, 51862.52, 52757.68, 53170.84, 52861.77, 52558.79, 52224.03, 51586.28, 50519.77, 49383.6, 47559.63, 45590.27, 43772.39, 41803.03, 40294.22, 38400.6, 36646.29, 35219.31, 33098.46, 31432.07, 30699.87]"
403,simga,"[307.5513, 315.5986, 324.2447, 332.8907, 342.3867, 351.8615, 361.3269, 370.8153, 380.4861, 390.0471, 399.5841, 409.2637, 418.7597, 428.3852, 437.8719, 447.4973, 456.8167, 466.1833, 475.6793, 485.2682, 494.5935, 504.4169, 513.7834, 523.4866, 533.2134, 542.893, 552.7257, 562.3589, 572.0144, 581.1502, 590.8769, 600.2435, 609.9467, 619.697, 629.0635, 639.1034, 649.0006, 658.1884]","[68963.56, 65967.29, 63116.08, 60239.61, 57492.6, 55181.58, 53034.87, 51179.27, 49289.4, 47811.6, 46192.37, 44988.57, 43862.42, 42532.2, 41689.51, 40627.62, 39808.45, 38801.48, 38057.49, 37252.52, 36515.94, 35961.76, 35259.14, 34649.31, 34037.27, 33365.24, 32854.98, 32338.06, 31832.54, 31376.39, 30803.97, 30291.71, 29922.39, 29462.34, 29145.23, 28807.16, 28330.74, 28003.33]"
392,simga,"[298.3218, 331.4906, 378.2823, 425.6663, 473.6426, 522.2113, 570.7799, 618.7562, 667.3248, 715.3011]","[291746.9, 238308.1, 182462.2, 139614.9, 108321.9, 84250.34, 64993.12, 51994.5, 41884.46, 33700.14]"
449,simga,"[340.8805, 349.6855, 365.5346, 390.1887, 411.3208, 439.4969, 457.1069, 476.478, 504.6541, 531.0692, 552.2013, 575.0943, 597.9874, 620.8805, 645.5346, 671.9497, 693.0818]","[91503.27, 79302.83, 71677.56, 68627.45, 55664.49, 53376.91, 43464.05, 41939, 35076.25, 32788.67, 28976.03, 25925.93, 23638.34, 21350.76, 20588.24, 21350.76, 22113.29]"
460,simga,"[300.1987, 324.4924, 370.7514, 418.9508, 466.4516, 514.127, 562.1518, 611.0497, 658.5505]","[208580.7, 174626.3, 128817, 95483.04, 73314.53, 56946.45, 46050.56, 38366.33, 31916.94]"
251,simga,"[300.0987, 318.46, 367.6209, 416.1895, 465.3504, 513.9191, 563.6723, 612.2409, 661.4018, 709.9704]","[170426.4, 152613.5, 115543.3, 89546.08, 68363.14, 53438.79, 40921.6, 32255.85, 26478.68, 22145.8]"
409,simga,"[303.8462, 323.8462, 374.6154, 423.8462, 473.8462, 522.3077, 573.0769, 622.3077, 673.8462, 723.0769, 772.3077, 823.8462, 872.3077, 923.0769]","[145848.2, 133794.6, 106473.2, 81160.71, 61473.21, 43995.54, 31138.39, 24508.93, 19687.5, 17477.68, 16272.32, 16272.32, 16071.43, 16071.43]"
372,simga,"[304.0235, 322.968, 347.5598, 372.9438, 398.8986, 423.2456, 446.3501, 472.6467, 498.2648, 522.5806, 573.0992, 598.4562, 622.4694, 647.4527, 673.4416, 721.8227, 547.6788, 696.7378, 747.9297, 772.0201, 796.8632, 822.4592, 930.1129, 896.2359, 872.1455, 846.5496]","[197577.4, 190497.1, 181491.3, 160831.8, 136882.4, 114808.9, 97244.85, 83044.79, 71950.32, 62991.07, 51442.49, 47502.32, 44436.07, 42160.5, 39821.15, 37072.81, 56752.52, 38253.08, 36058.23, 35431.13, 35431.13, 35431.13, 35431.13, 35744.68, 35744.68, 35744.68]"
