sample_id,tepname,temperature,tepvalue
215,kappa,623.1047,2.93913
215,kappa,673.0445,2.773913
215,kappa,722.9844,2.6
215,kappa,772.9242,2.452174
215,kappa,822.864,2.330435
215,kappa,872.2022,2.234783
215,kappa,902.8881,2.182609
216,kappa,299.6255,4.162026
216,kappa,325.8427,3.859198
216,kappa,348.5643,3.339893
216,kappa,399.2509,2.831627
216,kappa,446.4419,2.409914
216,kappa,497.1286,2.031518
216,kappa,551.3109,1.739729
216,kappa,572.2846,1.718246
216,kappa,521.598,2.010062
216,kappa,472.6592,2.345181
216,kappa,421.9725,2.77769
216,kappa,373.0337,3.318437
216,kappa,596.7541,1.545275
216,kappa,624.7191,1.458911
216,kappa,673.6579,1.318597
216,kappa,748.814,1.232598
216,kappa,775.0312,1.2328
216,kappa,722.5968,1.243217
216,kappa,694.6317,1.286291
216,kappa,649.1885,1.383343
73,kappa,299.4444,3.630118
73,kappa,325.5556,3.237256
73,kappa,348.8889,2.886637
73,kappa,372.7778,2.721779
73,kappa,399.4444,2.459792
73,kappa,425.5556,2.299138
73,kappa,474.4444,2.024298
73,kappa,499.4444,1.888984
73,kappa,525.0,1.783219
73,kappa,575.0,1.605475
73,kappa,598.3333,1.499729
73,kappa,624.4444,1.448845
73,kappa,674.4444,1.313321
73,kappa,698.8889,1.241341
73,kappa,724.4444,1.203128
73,kappa,749.4444,1.135365
73,kappa,773.8889,1.118271
73,kappa,800.0,1.075831
73,kappa,824.4444,1.071403
73,kappa,850.0,1.066965
168,kappa,302.6584,2.122851
168,kappa,320.3928,2.059656
168,kappa,346.0769,1.968655
168,kappa,371.758,1.890293
168,kappa,396.8305,1.80182
168,kappa,421.289,1.725986
168,kappa,446.9688,1.652679
168,kappa,472.037,1.581901
168,kappa,497.1052,1.511122
168,kappa,521.5606,1.447927
168,kappa,546.0166,1.382204
168,kappa,571.0811,1.326593
168,kappa,596.7566,1.270981
168,kappa,621.8192,1.222952
168,kappa,646.269,1.182508
168,kappa,673.1641,1.137007
168,kappa,697.6139,1.096562
168,kappa,722.0606,1.068756
168,kappa,747.7305,1.035895
168,kappa,772.7882,1.008089
168,kappa,797.2325,0.9903943
168,kappa,822.289,0.9676441
168,kappa,847.3448,0.9474216
168,kappa,871.7885,0.9322548
168,kappa,896.8431,0.917088
168,kappa,929.2297,0.9019211
217,kappa,309.1931,1.380541
217,kappa,333.7079,1.323784
217,kappa,358.7334,1.260541
217,kappa,383.2482,1.207027
217,kappa,401.6343,1.171351
217,kappa,425.6384,1.119459
217,kappa,452.1961,1.069189
217,kappa,476.7109,1.025405
217,kappa,501.7365,0.9832432
217,kappa,526.2513,0.9459459
217,kappa,549.2339,0.9135135
217,kappa,573.238,0.8794595
217,kappa,598.7743,0.8535135
217,kappa,622.2676,0.8308108
217,kappa,646.7824,0.8048649
217,kappa,669.7651,0.787027
217,kappa,692.237,0.7740541
217,kappa,716.7518,0.7610811
104,kappa,325.3998,2.151515
104,kappa,371.1195,1.912121
104,kappa,419.3791,1.672727
104,kappa,468.0621,1.466667
104,kappa,517.1684,1.290909
104,kappa,565.8514,1.151515
104,kappa,614.5343,1.012121
104,kappa,663.2173,0.8393939
104,kappa,712.3236,0.9424242
104,kappa,761.0066,0.8515152
40,kappa,322.5583,1.578143
40,kappa,374.6759,1.396898
40,kappa,424.8487,1.269047
40,kappa,475.0216,1.158989
40,kappa,524.8055,1.072658
40,kappa,574.5895,1.01895
40,kappa,624.3734,0.9504127
40,kappa,674.5462,0.9055981
40,kappa,724.7191,0.9289922
218,kappa,310.5283,1.811281
218,kappa,318.6058,1.78136
218,kappa,329.1901,1.730066
218,kappa,348.6876,1.659843
218,kappa,379.048,1.532221
218,kappa,400.4952,1.463219
218,kappa,428.6272,1.37773
218,kappa,452.0242,1.317888
218,kappa,476.5353,1.270869
218,kappa,502.4391,1.215912
218,kappa,528.9,1.201256
218,kappa,552.2969,1.168893
218,kappa,579.3149,1.181105
218,kappa,602.1548,1.176831
218,kappa,629.7298,1.196371
218,kappa,652.0126,1.195761
218,kappa,680.1447,1.206752
218,kappa,701.5919,1.225682
218,kappa,724.1533,1.242169
171,kappa,302.0832,1.976239
171,kappa,321.0396,1.913043
171,kappa,345.5017,1.822042
171,kappa,371.7932,1.746208
171,kappa,396.8651,1.660263
171,kappa,421.9346,1.584429
171,kappa,446.3918,1.51365
171,kappa,471.46,1.442872
171,kappa,496.527,1.377149
171,kappa,521.5927,1.316481
171,kappa,546.6566,1.263397
171,kappa,571.7199,1.212841
171,kappa,596.1728,1.159757
171,kappa,620.6238,1.114257
171,kappa,645.6846,1.073812
171,kappa,671.9649,1.043478
171,kappa,697.0226,1.015672
171,kappa,722.0804,0.9878665
171,kappa,747.1381,0.9600607
171,kappa,772.1964,0.929727
171,kappa,797.251,0.9145602
171,kappa,821.6953,0.8968655
171,kappa,847.3615,0.8791709
171,kappa,871.8051,0.864004
171,kappa,896.8591,0.851365
171,kappa,929.2464,0.8336704
219,kappa,313.8523,2.084928
219,kappa,339.0425,1.944378
219,kappa,364.2282,1.824761
219,kappa,388.8604,1.735048
219,kappa,414.0429,1.630383
219,kappa,439.769,1.54067
219,kappa,465.4905,1.47189
219,kappa,490.6631,1.412081
219,kappa,516.9303,1.349282
219,kappa,542.1035,1.286483
219,kappa,565.6301,1.250598
219,kappa,594.0883,1.172847
219,kappa,620.8978,1.130981
219,kappa,675.6055,1.071172
219,kappa,693.1196,1.017344
219,kappa,743.9986,0.9575359
219,kappa,766.9704,0.9575359
219,kappa,793.2264,0.9455742
219,kappa,821.6689,0.9395933
219,kappa,852.2979,0.9395933
220,kappa,299.6255,4.01051
220,kappa,332.834,3.567044
220,kappa,345.0687,3.361511
220,kappa,373.0337,3.123632
220,kappa,395.7553,2.8316
220,kappa,423.7203,2.604543
220,kappa,446.4419,2.420736
220,kappa,472.6592,2.172021
220,kappa,497.1286,2.04234
220,kappa,525.0936,1.891041
220,kappa,547.8152,1.750524
220,kappa,575.7803,1.642515
220,kappa,596.7541,1.556097
220,kappa,622.9713,1.46972
220,kappa,647.4407,1.426619
220,kappa,673.6579,1.340242
220,kappa,694.6317,1.318759
220,kappa,722.5968,1.308152
220,kappa,750.5618,1.286724
220,kappa,771.5356,1.286886
221,kappa,300.0,2.875817
221,kappa,320.1711,2.682353
221,kappa,369.6822,2.206536
221,kappa,419.1932,1.85098
221,kappa,468.0929,1.579085
221,kappa,517.6039,1.380392
221,kappa,567.1149,1.260131
221,kappa,616.0147,1.145098
221,kappa,664.3032,1.066667
439,kappa,301.2034,8.086957
439,kappa,398.6763,7.078261
439,kappa,499.7593,5.817391
439,kappa,598.4356,4.591304
439,kappa,697.7136,3.53913
439,kappa,798.1949,2.852174
439,kappa,899.278,2.713043
199,kappa,303.846,2.531522
199,kappa,323.4326,2.389892
199,kappa,346.9832,2.23204
199,kappa,373.8873,2.069603
199,kappa,398.7106,1.937683
199,kappa,422.7893,1.806871
199,kappa,449.6833,1.694257
199,kappa,474.7311,1.594531
199,kappa,497.8126,1.504082
199,kappa,522.7278,1.423131
199,kappa,549.7471,1.346861
199,kappa,574.2936,1.293965
199,kappa,598.0909,1.246858
199,kappa,624.191,1.201938
199,kappa,648.6812,1.159696
199,kappa,673.2604,1.130539
199,kappa,699.2139,1.116515
199,kappa,724.7663,1.098397
199,kappa,749.1159,1.089796
199,kappa,773.3208,1.06994
199,kappa,799.646,1.070403
199,kappa,824.7746,1.072309
199,kappa,848.9161,1.07346
199,kappa,875.3949,1.064584
199,kappa,900.1508,1.053457
199,kappa,930.2802,1.055197
222,kappa,302.4067,3.147826
222,kappa,322.864,3.13913
222,kappa,372.8039,3.121739
222,kappa,422.7437,3.034783
222,kappa,472.6835,2.930435
222,kappa,523.225,2.817391
222,kappa,573.1649,2.652174
222,kappa,623.7064,2.469565
222,kappa,672.4428,2.304348
222,kappa,721.1793,2.156522
222,kappa,771.1191,2.026087
222,kappa,821.6606,1.930435
222,kappa,871.6005,1.886957
222,kappa,902.8881,1.886957
435,kappa,298.5558,3.464614
435,kappa,318.2138,3.294356
435,kappa,366.9099,2.905978
435,kappa,391.9313,2.729112
435,kappa,416.6537,2.563386
435,kappa,440.0839,2.418123
435,kappa,464.6761,2.280198
435,kappa,489.7724,2.150938
