sample_id,tepname,temp,tepvalue
6078,Z,"[301.7487, 318.1678, 329.2175, 344.366, 359.4666, 374.5793, 389.668, 402.0481, 417.1368, 439.1166, 452.8152, 474.7353, 504.7454, 519.7505, 545.6499, 572.808, 593.1706, 621.5994, 641.8425, 670.1877, 690.383]","[0.0003694016, 0.0004430847, 0.0005380863, 0.0006488618, 0.000738462, 0.0008333561, 0.0009176626, 0.001002041, 0.001086347, 0.001223412, 0.001291873, 0.00140247, 0.001496969, 0.001544219, 0.001617651, 0.001648697, 0.001669335, 0.001663288, 0.001630987, 0.001587884, 0.001534408]"
6079,Z,"[801.3178, 787.9897, 769.3041, 742.5164, 718.3657, 688.6781, 658.9189, 631.7608, 609.9602, 588.1238, 566.1918, 546.9923, 530.4656, 516.6953, 505.6935, 478.2485, 463.1359, 453.4406, 434.2411, 423.2631, 404.0636, 391.7074, 371.2014, 357.479, 332.91, 308.353]","[0.001478531, 0.001574178, 0.001696437, 0.001829499, 0.001930726, 0.001979159, 0.001995829, 0.001964784, 0.001907125, 0.001833586, 0.001717696, 0.001612322, 0.001490994, 0.001390771, 0.001316944, 0.001158847, 0.001063953, 0.0009689157, 0.0008635415, 0.0008003027, 0.0006949286, 0.000621138, 0.000536975, 0.0004579264, 0.0003738709, 0.0002951092]"
6080,Z,"[300.2509, 319.3429, 346.7042, 365.8439, 386.3858, 401.5223, 417.9653, 433.0302, 450.8753, 470.0748, 497.4122, 519.3084, 538.4123, 571.0594, 595.5327, 623.9854, 649.6697, 678.0627, 692.9243]","[0.0003059119, 0.0003636418, 0.0004846822, 0.0005635874, 0.0006636318, 0.0007691135, 0.0008533841, 0.000927103, 0.001032513, 0.001137887, 0.00124834, 0.001348349, 0.001411372, 0.001474038, 0.001515743, 0.001520284, 0.001498427, 0.001476499, 0.001460223]"
6505,Z,"[83.80035, 102.627, 122.3292, 142.0315, 158.669, 191.0683, 219.965, 246.6725, 270.3152, 295.7093, 301.4011, 341.6813]","[0.00198, 0.002176667, 0.00246, 0.002613333, 0.00272, 0.002896667, 0.002983333, 0.002943333, 0.002766667, 0.002363333, 0.002276667, 0.00152]"
6507,Z,"[83.36252, 98.68651, 118.8266, 141.1559, 159.5447, 190.6305, 218.2137, 244.4834, 269.0018, 298.3363, 339.9299]","[0.0014, 0.001606667, 0.00188, 0.002163333, 0.002386667, 0.002736667, 0.002883333, 0.003026667, 0.00317, 0.003083333, 0.00297]"
6508,Z,"[85.11384, 106.1296, 128.8967, 148.1611, 165.6743, 194.1331, 221.2785, 247.1103, 271.1909, 299.2119, 299.6497, 340.3678]","[0.001786667, 0.002063333, 0.002303333, 0.002443333, 0.002583333, 0.002723333, 0.002676667, 0.002583333, 0.002356667, 0.001953333, 0.001936667, 0.00119]"
6506,Z,,[]
6509,Z,"[84.23818, 110.5079, 130.2102, 145.5342, 150.7881, 161.7338, 194.1331, 220.4028, 249.2995, 277.3205, 298.3363, 336.8651]","[0.001246667, 0.001693333, 0.002033333, 0.00226, 0.002336667, 0.002513333, 0.002806667, 0.002926667, 0.003113333, 0.003156667, 0.003136667, 0.002873333]"
6542,Z,"[297.9167, 338.0208, 357.8125, 378.125, 398.4375, 418.75, 438.5417, 458.8542, 479.1667, 500, 520.3125, 540.1042, 550.5208]","[0.002583447, 0.002611788, 0.002531487, 0.002349431, 0.00214194, 0.00187631, 0.001636124, 0.001388662, 0.001148468, 0.0009264323, 0.0007262086, 0.0005586978, 0.0004676656]"
6541,Z,"[297.9167, 318.2292, 338.0208, 358.3333, 378.6458, 398.9583, 418.75, 439.0625]","[0.002169203, 0.00226331, 0.002313823, 0.002302553, 0.002153201, 0.001865768, 0.001654653, 0.001418092]"
