sample_id,tepname,temp,tepvalue
602,zT,"[58.94737, 61.05263, 63.85965, 65.26316, 66.66667, 69.47368, 71.57895, 72.2807, 77.19298, 80, 81.40351, 86.31579, 89.12281, 91.92982, 94.73684, 97.54386, 101.7544, 104.5614, 108.7719, 111.5789, 115.7895, 120, 123.5088, 127.0175, 131.2281, 134.0351, 136.8421, 139.6491, 143.1579, 150.8772, 153.6842, 158.5965, 160, 164.2105, 167.7193, 171.9298, 175.4386, 180.3509, 185.2632, 190.1754, 196.4912, 200, 207.0175, 211.9298, 215.4386, 221.7544, 226.6667, 232.2807, 235.0877, 239.2982, 240.7018, 244.9123, 246.3158, 249.8246, 255.4386, 259.6491, 263.8596, 270.8772, 273.6842, 277.8947, 280, 283.5088, 287.0175, 289.8246, 290.5263, 296.1404, 299.6491, 302.4561, 305.2632, 308.7719, 313.6842, 318.5965, 324.2105, 326.3158, 330.5263, 335.4386, 336.1404, 339.6491, 343.1579, 345.9649, 349.4737, 351.5789, 355.0877, 357.193, 358.5965, 361.4035, 364.2105, 367.0175, 370.5263, 374.7368, 378.2456, 378.2456, 381.0526, 385.2632]","[0.0001232877, 0.0001315068, 0.0001315068, 0.0001315068, 0.0001315068, 0.0001315068, 0.0001315068, 0.0001315068, 0.0001315068, 0.0001479452, 0.0001479452, 0.0001479452, 0.0001479452, 0.0001561644, 0.0001643836, 0.0001643836, 0.0001726027, 0.0001808219, 0.0001890411, 0.0001972603, 0.0002054795, 0.0002054795, 0.0002054795, 0.000230137, 0.000230137, 0.0002547945, 0.0002630137, 0.0002794521, 0.0002958904, 0.0003205479, 0.0003369863, 0.0003452055, 0.0003534247, 0.0003780822, 0.0003863014, 0.0004027397, 0.0004191781, 0.0004520548, 0.0004520548, 0.0004767123, 0.0005260274, 0.0005260274, 0.0005835616, 0.0006164384, 0.0006493151, 0.000690411, 0.0007232877, 0.0007643836, 0.0007890411, 0.000830137, 0.0008547945, 0.0008876712, 0.0008958904, 0.0009123288, 0.0009534247, 0.0009945205, 0.001052055, 0.001117808, 0.001158904, 0.001191781, 0.001216438, 0.001241096, 0.001273973, 0.001290411, 0.001339726, 0.001389041, 0.001446575, 0.001471233, 0.001479452, 0.001512329, 0.001561644, 0.001619178, 0.001668493, 0.001684932, 0.001742466, 0.001808219, 0.001841096, 0.001923288, 0.002178082, 0.002260274, 0.00230137, 0.002334247, 0.002367123, 0.002539726, 0.002580822, 0.002654795, 0.00269589, 0.002720548, 0.002720548, 0.00259726, 0.002613699, 0.002663014, 0.00270411, 0.002745205]"
604,zT,"[72.2807, 76.49123, 80.70175, 86.31579, 86.31579, 86.31579, 88.42105, 91.22807, 95.4386, 97.54386, 102.4561, 109.4737, 112.2807, 117.8947, 122.807, 125.614, 131.2281, 136.8421, 143.1579, 145.9649, 150.1754, 155.7895, 162.1053, 166.3158, 169.8246, 171.9298, 178.9474, 183.1579, 187.3684, 195.7895, 190.1754, 199.2982, 201.4035, 203.5088, 206.3158, 208.4211, 211.2281, 214.7368, 216.8421, 221.0526, 228.0702, 231.5789, 235.0877, 240, 241.4035, 246.3158, 251.2281, 256.8421, 259.6491, 265.9649, 271.5789, 273.6842, 277.8947, 282.1053, 286.3158, 287.7193, 291.2281, 294.0351, 296.8421, 299.6491, 303.1579, 305.2632, 308.0702, 310.8772, 312.9825, 317.193, 319.2982, 321.4035, 324.9123, 327.0175, 331.2281, 332.6316, 336.1404, 337.5439, 338.9474, 343.1579, 347.3684, 347.3684, 349.4737, 352.9825, 360, 362.1053, 364.2105, 367.7193, 369.1228, 368.4211, 373.3333, 374.0351, 377.5439, 381.0526, 383.8596, 384.5614, 387.3684, 389.4737, 391.5789, 392.2807, 395.0877, 397.8947]","[0.0001232877, 0.0001232877, 0.0001232877, 0.0001150685, 0.0001150685, 0.0001150685, 0.0001150685, 0.0001232877, 0.0001150685, 0.0001150685, 0.0001150685, 0.0001150685, 0.0001232877, 0.0001232877, 0.0001232877, 0.0001315068, 0.000139726, 0.0001479452, 0.0001479452, 0.0001479452, 0.0001479452, 0.000139726, 0.0001479452, 0.0001561644, 0.0001643836, 0.0001726027, 0.0001890411, 0.0001972603, 0.0001972603, 0.0002054795, 0.0002136986, 0.0002219178, 0.0002219178, 0.000230137, 0.000230137, 0.0002383562, 0.0002547945, 0.0002630137, 0.0002630137, 0.0002794521, 0.0002876712, 0.0003041096, 0.0003123288, 0.0003287671, 0.0003287671, 0.0003452055, 0.0003616438, 0.0003863014, 0.0004027397, 0.0004109589, 0.0004356164, 0.000460274, 0.0004684932, 0.0004931507, 0.0005013699, 0.000509589, 0.0005260274, 0.0005342466, 0.0005424658, 0.0005835616, 0.0005917808, 0.0005917808, 0.0006164384, 0.0006246575, 0.0006328767, 0.0006575342, 0.0006739726, 0.0007232877, 0.0007232877, 0.0007479452, 0.0007643836, 0.0007890411, 0.0008219178, 0.0008547945, 0.0008712329, 0.0009041096, 0.00100274, 0.001019178, 0.001035616, 0.001052055, 0.001052055, 0.001117808, 0.001117808, 0.001175342, 0.001183562, 0.0012, 0.001224658, 0.001249315, 0.001273973, 0.001290411, 0.001347945, 0.001364384, 0.001405479, 0.001413699, 0.001446575, 0.001479452, 0.001479452, 0.001479452]"
603,zT,"[51.77386, 54.64644, 58.23718, 62.54605, 69.01685, 75.48765, 78.36023, 79.79653, 84.1054, 86.97799, 88.41428, 95.59574, 106.3679, 112.8313, 117.1476, 121.449, 126.476, 131.4881, 135.8119, 145.1478, 150.893, 153.0474, 159.5108, 162.3833, 169.5648, 172.4374, 178.9007, 181.7733, 188.2366, 190.3911, 196.8544, 202.5995, 209.0629, 216.2294, 222.7002, 229.171, 233.4798, 239.2325, 243.5414, 251.4335, 259.3331, 262.2057, 266.5146, 272.2597, 280.1593, 287.3408, 290.2209, 298.1205, 303.155, 308.1745, 313.9122, 316.7848, 319.6574, 324.6919, 328.2826, 332.6065, 337.6335, 345.5256, 349.842, 352.0039, 357.0234, 362.7686, 367.7956, 371.3938, 374.2664, 377.139, 379.2934, 381.4479, 385.0386, 387.1931, 388.6294, 392.9382, 396.529]","[-0.0006028688, -0.000602794, -0.0006027005, -0.0006025883, -0.0005920031, -0.000581418, -0.0005813432, -0.0005813058, -0.0005811935, -0.0005811187, -0.0005810813, -0.0005808943, -0.0005806138, -0.0005804455, -0.0005699164, -0.0005802211, -0.0005800901, -0.000600793, -0.000579847, -0.0005796039, -0.0005794543, -0.0005793982, -0.0005792299, -0.0005791551, -0.000578968, -0.0005788932, -0.0005787249, -0.0005786501, -0.0005784818, -0.0005784257, -0.0005782574, -0.0005781078, -0.0005779394, -0.0005985861, -0.000588001, -0.0005774158, -0.0005773036, -0.0005667371, -0.0005666249, -0.000576836, -0.0005766303, -0.0005765555, -0.0005764433, -0.0005762937, -0.000576088, -0.000575901, -0.0005654093, -0.0005652036, -0.0005546558, -0.0005649417, -0.000575209, -0.0005751342, -0.0005750594, -0.0005645116, -0.0005644181, -0.0005434722, -0.0005433413, -0.0005535524, -0.0005430233, -0.0005325504, -0.0005428363, -0.0005426867, -0.0005425558, -0.0005320454, -0.0005319706, -0.0005318958, -0.0005318397, -0.0005317836, -0.0005316901, -0.000531634, -0.0005315966, -0.0005314844, -0.0005313908]"
605,zT,"[418.4192, 468.999, 518.0637, 568.5903, 620.556, 672.4609, 727.3502, 770.56, 823.866, 874.2635, 921.6842, 973.4903, 1023.842, 1023.789, 1072.292]","[0.03897638, 0.04448819, 0.05708661, 0.06811024, 0.07992126, 0.0980315, 0.1066929, 0.126378, 0.1492126, 0.173622, 0.2066929, 0.2350394, 0.2641732, 0.269685, 0.3405512]"
606,zT,"[418.7002, 469.3179, 515.5653, 564.7136, 613.8239, 667.3729, 719.3082, 766.9719, 821.884, 870.9335, 925.8001, 973.4182, 1022.551, 1068.753, 1119.234, 1171.169]","[0.00984252, 0.01141732, 0.01614173, 0.02007874, 0.02795276, 0.02559055, 0.04055118, 0.0484252, 0.05472441, 0.06889764, 0.07992126, 0.09251969, 0.0980315, 0.1074803, 0.1232283, 0.138189]"
618,zT,"[302.0548, 318.4932, 339.726, 359.589, 380.137, 400, 420.5479, 440.411, 460.274, 480.137, 500.6849, 519.863, 540.411, 558.9041, 580.137, 600]","[0.4205882, 0.5039216, 0.5627451, 0.6093137, 0.6485294, 0.6877451, 0.7318627, 0.7563725, 0.7759804, 0.7759804, 0.7539216, 0.7294118, 0.697549, 0.6411765, 0.575, 0.5039216]"
620,zT,"[300.685, 321.233, 339.041, 358.904, 381.507, 398.63, 419.863, 440.411, 458.904, 481.507, 498.63, 519.178, 541.096, 560.274, 580.137, 600]","[0.513725, 0.592157, 0.653431, 0.719608, 0.793137, 0.827451, 0.898529, 0.954902, 1.02353, 1.04804, 1.0701, 1.04559, 0.986765, 0.905882, 0.817647, 0.74902]"
622,zT,"[300, 319.863, 341.0959, 362.3288, 380.137, 402.0548, 418.4932, 441.7808, 458.2192, 478.7671, 500, 521.9178, 541.0959, 558.9041, 578.7671, 600.6849]","[0.3004902, 0.3323529, 0.3764706, 0.4132353, 0.452451, 0.4941176, 0.5333333, 0.5627451, 0.577451, 0.5823529, 0.570098, 0.5529412, 0.5186275, 0.4990196, 0.4745098, 0.4696078]"
624,zT,,[]
623,zT,,[]
